Business Name,Phone,Phone (Raw),Address,Latitude,Longitude,Source,Rating,Reference URL,Town,Zone,Collected At
Indika Motors,94812376713,+94 812 376 713,"No.964/6 Nilagama, Digana, Sri Lanka",7.2969894,80.7309921,Google Maps,,"https://www.google.com/maps/place/Indika+Motors/@7.2969894,80.7309921,17z",Digana,Digana,2026-08-04 05:09:37
VICTORY TYRETECH (PVT) LTD,94777354709,+94 77 735 4709,"Kandy-Mahiyangane-Padiyatalawa Hwy, Digana, Sri Lanka",7.2977169,80.732612,Google Maps,,"https://www.google.com/maps/place/VICTORY+TYRETECH+(PVT)+LTD/@7.2977169,80.732612,17z",Digana,Digana,2026-08-04 05:09:37
Sin Guan Hin Auto Parts Co,9462930863,6293 0863,"24 Veerasamy Rd, Singapore 207329",1.3073826,103.8535889,Google Maps,,"https://www.google.com/maps/place/Sin+Guan+Hin+Auto+Parts+Co/@1.3073826,103.8535889,17z",Digana,Digana,2026-08-04 05:09:37
Yamaha Service Center,94775979956,+94 77 597 9956,"7PQV+Q36, Digana, Sri Lanka",7.2894101,80.7426386,Google Maps,,"https://www.google.com/maps/place/Yamaha+Service+Center/@7.2894101,80.7426386,17z",Digana,Digana,2026-08-04 05:09:37
DIMO | CAREHUB - Balagolla,94814950445,+94 814 950 445,"No -688, Kengalla, Balagolla, Sri Lanka",7.284015,80.7175198,Google Maps,,"https://www.google.com/maps/place/DIMO+%7C+CAREHUB+-+Balagolla/@7.284015,80.7175198,17z",Digana,Digana,2026-08-04 05:09:37
Motorhub kandy,94721077788,+94 72 107 7788,"19/B Peradeniya Rd, Kandy 20000, Sri Lanka",7.2928002,80.632619,Google Maps,,"https://www.google.com/maps/place/Motorhub+kandy/@7.2928002,80.632619,17z",Digana,Digana,2026-08-04 05:09:37
Ashocars Japan pvt.ltd,94777263633,+94 77 726 3633,"396 Katugastota Rd, Kandy 20000, Sri Lanka",7.3201766,80.6295769,Google Maps,,"https://www.google.com/maps/place/Ashocars+Japan+pvt.ltd/@7.3201766,80.6295769,17z",Digana,Digana,2026-08-04 05:09:37
Kandy Mahanuwara Motors,94777042222,+94 77 704 2222,"459/H, 459/H Katugastota Rd, Kandy 20000, Sri Lanka",7.3208201,80.6274089,Google Maps,,"https://www.google.com/maps/place/Kandy+Mahanuwara+Motors/@7.3208201,80.6274089,17z",Digana,Digana,2026-08-04 05:09:37
Ideal Motors (Pvt) Ltd - Mahindra Genuine Spare Parts,94771058905,+94 77 105 8905,"No.174/B Katugastota Rd, Kandy 20000, Sri Lanka",7.3091338,80.6373999,Google Maps,,"https://www.google.com/maps/place/Ideal+Motors+(Pvt)+Ltd+-+Mahindra+Genuine+Spare+Parts/@7.3091338,80.6373999,17z",Digana,Digana,2026-08-04 05:09:37
Zeena Enterprises (PVT) LTD,94812234109,+94 812 234 109,"106 DS Senanayake Veediya, Kandy 20000, Sri Lanka",7.2957785,80.6378792,Google Maps,,"https://www.google.com/maps/place/Zeena+Enterprises+(PVT)+LTD/@7.2957785,80.6378792,17z",Digana,Digana,2026-08-04 05:09:37
Akurana Nippon Lanka vehicle Spare Parts,94776916953,+94 77 691 6953,"241 Matale Rd, Akurana 20850, Sri Lanka",7.3758885,80.6192546,Google Maps,,"https://www.google.com/maps/place/Akurana+Nippon+Lanka+vehicle+Spare+Parts/@7.3758885,80.6192546,17z",Digana,Digana,2026-08-05 07:12:21
Shonan Trading,94777071267,+94 77 707 1267,"Matale Rd, Kandy 20850, Sri Lanka",7.3823657,80.6181332,Google Maps,,"https://www.google.com/maps/place/Shonan+Trading/@7.3823657,80.6181332,17z",Digana,Digana,2026-08-05 07:12:21
Sumedha Motors,94812386882,+94 812 386 882,"307, 20400, A5 Gampola Road, 20400, Sri Lanka",7.2623622,80.5929106,Google Maps,,"https://www.google.com/maps/place/Sumedha+Motors/@7.2623622,80.5929106,17z",Digana,Digana,2026-08-05 07:12:21
Sisira Motor Store,94812232559,+94 812 232 559,"No. D.S., 44 DS Senanayake Veediya, Kandy 20000, Sri Lanka",7.2945487,80.6382234,Google Maps,,"https://www.google.com/maps/place/Sisira+Motor+Store/@7.2945487,80.6382234,17z",Digana,Digana,2026-08-05 07:12:21
Darley Motors Kandy ( Car Audio | Stickers | Accessories ),94754469901,+94 75 446 9901,"3G William Gopallawa Mawatha, Kandy 20000, Sri Lanka",7.2822249,80.6235808,Google Maps,,"https://www.google.com/maps/place/Darley+Motors+Kandy+(+Car+Audio+%7C+Stickers+%7C+Accessories+)/@7.2822249,80.6235808,17z",Digana,Digana,2026-08-05 07:12:21
Negombo Motors,94812385022,+94 812 385 022,"No 247, Sri Lanka",7.2655559,80.5839553,Google Maps,,"https://www.google.com/maps/place/Negombo+Motors/@7.2655559,80.5839553,17z",Digana,Digana,2026-08-05 07:12:21
AUTO WORLD BEADING SHOP,94777660607,+94 77 766 0607,"338 Kandy - Jaffna Hwy, Kandy 20000, Sri Lanka",7.3178848,80.6293692,Google Maps,,"https://www.google.com/maps/place/AUTO+WORLD+BEADING+SHOP/@7.3178848,80.6293692,17z",Digana,Digana,2026-08-05 07:12:21
New Star Tyre House,94812375334,+94 812 375 334,"No 197, New Town,Digana, Rajawella 20180, Sri Lanka",7.2945898,80.7366741,Google Maps,,"https://www.google.com/maps/place/New+Star+Tyre+House/@7.2945898,80.7366741,17z",Digana,Digana,2026-08-05 09:57:43
Kodituwakku Motors,94771903345,+94 77 190 3345,"DS Senanayake Veediya, Kandy, Sri Lanka",7.2964482,80.6371486,Google Maps,,"https://www.google.com/maps/place/Kodituwakku+Motors/@7.2964482,80.6371486,17z",Digana,Digana,2026-08-05 09:57:43
Auto Trades Kandy (Pvt) Ltd,94812223663,+94 812 223 663,"2-4 Cross St, Kandy 20000, Sri Lanka",7.2972707,80.6371946,Google Maps,,"https://www.google.com/maps/place/Auto+Trades+Kandy+(Pvt)+Ltd/@7.2972707,80.6371946,17z",Digana,Digana,2026-08-05 09:57:43
