Business Name,Phone,Phone (Raw),Address,Latitude,Longitude,Source,Rating,Reference URL,Town,Zone,Collected At
Kandy Radiator House - Kundasale,94774554330,+94 77 455 4330,"pradeshiya sabha building, No 2, Kandy 20000, Sri Lanka",7.2827788,80.6977224,Google Maps,,"https://www.google.com/maps/place/Kandy+Radiator+House+-+Kundasale/@7.2827788,80.6977224,17z",Kundasale,Kundasale,2026-08-04 04:31:15
HERO- MA TRADING KUNDASALE,94778620974,+94 77 862 0974,"3/1/A NEW DIGANA RD, Henwala Rd, Kundasale 20168, Sri Lanka",7.2819421,80.6913678,Google Maps,,"https://www.google.com/maps/place/HERO-+MA+TRADING+KUNDASALE/@7.2819421,80.6913678,17z",Kundasale,Kundasale,2026-08-04 04:31:15
indu motor traders,,,"8P2J+8QP, Digana, Sri Lanka",7.3008262,80.7319409,Google Maps,,"https://www.google.com/maps/place/indu+motor+traders/@7.3008262,80.7319409,17z",Kundasale,Kundasale,2026-08-04 04:31:15
SENOK COMMERCIAL VEHICLES (PVT) LTD,94812424730,+94 812 424 730,"Industrial Zone, Kandy Industrial Zone, Kandy, Sri Lanka",7.2758422,80.719833,Google Maps,,"https://www.google.com/maps/place/SENOK+COMMERCIAL+VEHICLES+(PVT)+LTD/@7.2758422,80.719833,17z",Kundasale,Kundasale,2026-08-04 04:31:15
SAYON MOTORS,94778814561,+94 77 881 4561,"175/1 mallikawatte, Nattarampota 20168, Sri Lanka",7.2808949,80.675692,Google Maps,,"https://www.google.com/maps/place/SAYON+MOTORS/@7.2808949,80.675692,17z",Kundasale,Kundasale,2026-08-04 04:31:15
Kosala Motors,,,,7.2791295,80.6779172,OpenStreetMap,,https://www.openstreetmap.org/node/8413541943,Kundasale,Kundasale,2026-08-05 08:02:17
Pasindu Tyre Center,,,,7.2805727,80.6826869,OpenStreetMap,,https://www.openstreetmap.org/node/8413577860,Kundasale,Kundasale,2026-08-05 08:02:17
Silva Motors,,,,7.2856289,80.6614428,OpenStreetMap,,https://www.openstreetmap.org/node/8418237939,Kundasale,Kundasale,2026-08-05 08:02:17
Singhe Motors Three Wheeler,,,,7.2813901,80.6704623,OpenStreetMap,,https://www.openstreetmap.org/node/8604827216,Kundasale,Kundasale,2026-08-05 08:02:17
Central Tyre Mart,,,,7.2790629,80.6788,OpenStreetMap,,https://www.openstreetmap.org/node/8676062857,Kundasale,Kundasale,2026-08-05 08:02:17
Nuwan Gas & Oil Mart,,,,7.279068,80.6787737,OpenStreetMap,,https://www.openstreetmap.org/node/8676062861,Kundasale,Kundasale,2026-08-05 08:02:17
Unknown,,,,7.2796728,80.6746109,OpenStreetMap,,https://www.openstreetmap.org/node/8690520685,Kundasale,Kundasale,2026-08-05 08:02:17
Unknown,,,,7.2796727,80.6744988,OpenStreetMap,,https://www.openstreetmap.org/node/8690520686,Kundasale,Kundasale,2026-08-05 08:02:17
Universal Motors,,,,7.2794329,80.6773407,OpenStreetMap,,https://www.openstreetmap.org/node/9515426923,Kundasale,Kundasale,2026-08-05 08:02:17
